,source_id,dt,costs
0,1,2017-06-01,75.2
1,1,2017-06-02,62.25
2,1,2017-06-03,36.53
3,1,2017-06-04,55.0
4,1,2017-06-05,57.08
5,1,2017-06-06,40.39
6,1,2017-06-07,40.59
7,1,2017-06-08,56.63
8,1,2017-06-09,40.16
9,1,2017-06-10,43.24
10,1,2017-06-11,21.68
11,1,2017-06-12,27.48
12,1,2017-06-13,44.66
13,1,2017-06-14,30.7
14,1,2017-06-15,39.71
15,1,2017-06-16,39.1
16,1,2017-06-17,21.41
17,1,2017-06-18,50.04
18,1,2017-06-19,25.08
19,1,2017-06-20,25.37
20,1,2017-06-21,22.6
21,1,2017-06-22,21.68
22,1,2017-06-23,28.6
23,1,2017-06-24,10.72
24,1,2017-06-25,22.03
25,1,2017-06-26,31.91
26,1,2017-06-27,47.73
27,1,2017-06-28,38.48
28,1,2017-06-29,32.58
29,1,2017-06-30,36.98
30,1,2017-07-01,5.8
31,1,2017-07-02,27.99
32,1,2017-07-03,21.56
33,1,2017-07-04,37.63
34,1,2017-07-05,22.11
35,1,2017-07-06,23.32
36,1,2017-07-07,47.25
37,1,2017-07-08,32.26
38,1,2017-07-09,54.94
39,1,2017-07-10,30.69
40,1,2017-07-11,24.08
41,1,2017-07-12,53.53
42,1,2017-07-13,34.52
43,1,2017-07-14,63.52
44,1,2017-07-15,52.47
45,1,2017-07-16,34.02
46,1,2017-07-17,90.87
47,1,2017-07-18,54.31
48,1,2017-07-19,46.85
49,1,2017-07-20,28.46
50,1,2017-07-21,36.25
51,1,2017-07-22,20.98
52,1,2017-07-23,28.1
53,1,2017-07-24,48.58
54,1,2017-07-25,13.31
55,1,2017-07-26,27.38
56,1,2017-07-27,9.92
57,1,2017-07-28,23.5
58,1,2017-07-29,12.6
59,1,2017-07-30,34.96
60,1,2017-07-31,31.12
61,1,2017-08-01,44.65
62,1,2017-08-02,25.47
63,1,2017-08-03,19.96
64,1,2017-08-04,23.08
65,1,2017-08-05,26.49
66,1,2017-08-06,13.21
67,1,2017-08-07,27.78
68,1,2017-08-08,33.71
69,1,2017-08-09,19.67
70,1,2017-08-10,32.73
71,1,2017-08-11,29.93
72,1,2017-08-12,16.04
73,1,2017-08-13,17.01
74,1,2017-08-14,45.75
75,1,2017-08-15,34.63
76,1,2017-08-16,22.07
77,1,2017-08-17,50.77
78,1,2017-08-18,31.57
79,1,2017-08-19,23.2
80,1,2017-08-20,37.04
81,1,2017-08-21,25.09
82,1,2017-08-22,32.48
83,1,2017-08-23,22.42
84,1,2017-08-24,33.88
85,1,2017-08-25,26.18
86,1,2017-08-26,30.38
87,1,2017-08-27,46.25
88,1,2017-08-28,50.07
89,1,2017-08-29,28.25
90,1,2017-08-30,43.79
91,1,2017-08-31,38.26
92,1,2017-09-01,40.28
93,1,2017-09-02,26.16
94,1,2017-09-03,24.95
95,1,2017-09-04,36.48
96,1,2017-09-05,48.53
97,1,2017-09-06,61.1
98,1,2017-09-07,29.06
99,1,2017-09-08,53.66
100,1,2017-09-09,41.98
101,1,2017-09-10,22.83
102,1,2017-09-11,48.02
103,1,2017-09-12,31.75
104,1,2017-09-13,49.61
105,1,2017-09-14,54.86
106,1,2017-09-15,49.8
107,1,2017-09-16,30.24
108,1,2017-09-17,45.97
109,1,2017-09-18,61.06
110,1,2017-09-19,45.41
111,1,2017-09-20,75.74
112,1,2017-09-21,55.05
113,1,2017-09-22,58.6
114,1,2017-09-23,18.34
115,1,2017-09-24,31.84
116,1,2017-09-25,86.61
117,1,2017-09-26,68.59
118,1,2017-09-27,86.83
119,1,2017-09-28,75.52
120,1,2017-09-29,84.04
121,1,2017-09-30,59.1
122,1,2017-10-01,57.14
123,1,2017-10-02,86.51
124,1,2017-10-03,78.73
125,1,2017-10-04,90.78
126,1,2017-10-05,85.21
127,1,2017-10-06,76.57
128,1,2017-10-07,72.02
129,1,2017-10-08,42.54
130,1,2017-10-09,89.25
131,1,2017-10-10,56.04
132,1,2017-10-11,63.58
133,1,2017-10-12,106.59
134,1,2017-10-13,78.87
135,1,2017-10-14,55.8
136,1,2017-10-15,49.88
137,1,2017-10-16,64.75
138,1,2017-10-17,46.35
139,1,2017-10-18,66.2
140,1,2017-10-19,67.95
141,1,2017-10-20,125.68
142,1,2017-10-21,65.58
143,1,2017-10-22,60.25
144,1,2017-10-23,70.44
145,1,2017-10-24,124.55
146,1,2017-10-25,61.38
147,1,2017-10-26,106.66
148,1,2017-10-27,62.53
149,1,2017-10-28,55.19
150,1,2017-10-29,78.69
151,1,2017-10-30,97.1
152,1,2017-10-31,72.94
153,1,2017-11-01,69.03
154,1,2017-11-02,98.15
155,1,2017-11-03,77.4
