,Kod,Name,global_id,Latin_name,Type,Kod_okato,Unnamed: 6
0,100,Центральный административный округ,58703558,Czentral`ny'j administrativny'j okrug,2,45286000,
1,101,район Арбат,58703559,rajon Arbat,3,45286552,
2,102,Басманный район,58703560,Basmanny'j rajon,3,45286555,
3,103,район Замоскворечье,58703561,rajon Zamoskvorech`e,3,45286560,
4,104,Красносельский район,58703562,Krasnosel`skij rajon,3,45286565,
5,105,Мещанский район,58703563,Meshhanskij rajon,3,45286570,
6,106,Пресненский район,58703564,Presnenskij rajon,3,45286575,
7,107,Таганский район,58703565,Taganskij rajon,3,45286580,
8,108,Тверской район,58703566,Tverskoj rajon,3,45286585,
9,109,район Хамовники,58703567,rajon Xamovniki,3,45286590,
10,110,район Якиманка,58703568,rajon Yakimanka,3,45286596,
11,200,Северный административный округ,58703569,Severny'j administrativny'j okrug,2,45277000,
12,201,район Аэропорт,58703570,rajon Ae'roport,3,45277553,
13,202,район Беговой,58703571,rajon Begovoj,3,45277556,
14,203,Бескудниковский район,58703572,Beskudnikovskij rajon,3,45277559,
15,205,Войковский район,58703573,Vojkovskij rajon,3,45277565,
16,206,район Восточное Дегунино,58703574,rajon Vostochnoe Degunino,3,45277568,
17,207,Головинский район,58703575,Golovinskij rajon,3,45277571,
18,208,Дмитровский район,58703576,Dmitrovskij rajon,3,45277574,
19,209,район Западное Дегунино,58703577,rajon Zapadnoe Degunino,3,45277577,
20,210,район Коптево,58703578,rajon Koptevo,3,45277580,
21,211,район Левобережный,58703579,rajon Levoberezhny'j,3,45277583,
22,212,Молжаниновский район,58703580,Molzhaninovskij rajon,3,45277584,
23,213,Савёловский район,58703581,Savyolovskij rajon,3,45277586,
24,214,район Сокол,58703582,rajon Sokol,3,45277589,
25,215,Тимирязевский район,58703583,Timiryazevskij rajon,3,45277592,
26,216,район Ховрино,58703584,rajon Xovrino,3,45277595,
27,217,Хорошёвский район,58703585,Xoroshyovskij rajon,3,45277598,
28,300,Северо-Восточный административный округ,58703586,Severo-Vostochny'j administrativny'j okrug,2,45280000,
29,301,Алексеевский район,58703587,Alekseevskij rajon,3,45280552,
30,302,Алтуфьевский район,58703588,Altuf`evskij rajon,3,45280554,
31,303,Бабушкинский район,58703589,Babushkinskij rajon,3,45280556,
32,304,район Бибирево,58703590,rajon Bibirevo,3,45280558,
33,305,Бутырский район,58703591,Buty'rskij rajon,3,45280561,
34,306,район Лианозово,58703592,rajon Lianozovo,3,45280563,
35,307,Лосиноостровский район,58703593,Losinoostrovskij rajon,3,45280565,
36,308,район Марфино,58703594,rajon Marfino,3,45280567,
37,309,район Марьина Роща,58703595,rajon Mar`ina Roshha,3,45280569,
38,310,Останкинский район,58703596,Ostankinskij rajon,3,45280572,
39,311,район Отрадное,58703597,rajon Otradnoe,3,45280574,
40,312,район Ростокино,58703598,rajon Rostokino,3,45280577,
41,313,район Свиблово,58703599,rajon Sviblovo,3,45280580,
42,314,район Северное Медведково,58703600,rajon Severnoe Medvedkovo,3,45280583,
43,315,район Северный,58703601,rajon Severny'j,3,45280585,
44,316,район Южное Медведково,58703602,rajon Yuzhnoe Medvedkovo,3,45280594,
45,317,Ярославский район,58703603,Yaroslavskij rajon,3,45280597,
46,400,Восточный административный округ,58703604,Vostochny'j administrativny'j okrug,2,45263000,
47,403,район Богородское,58703605,rajon Bogorodskoe,3,45263552,
48,404,район Вешняки,58703606,rajon Veshnyaki,3,45263555,
49,405,район Восточное Измайлово,58703607,rajon Vostochnoe Izmajlovo,3,45263558,
50,406,район Гольяново,58703608,rajon Gol`yanovo,3,45263564,
51,407,район Ивановское,58703609,rajon Ivanovskoe,3,45263567,
52,408,район Измайлово,58703610,rajon Izmajlovo,3,45263570,
53,409,район Косино-Ухтомский,58703611,rajon Kosino-Uxtomskij,3,45263573,
54,410,район Метрогородок,58703612,rajon Metrogorodok,3,45263581,
