,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
0,008880,1-й Ирининский переулок,58481065,1-й Ирининский пер.,Pervy'j Irininskij pereulok,002,,0102,77000000000706300,
1,008890,2-й Ирининский переулок,58481066,2-й Ирининский пер.,Vtoroj Irininskij pereulok,002,,0102,77000000000362200,
2,008891,3-й Ирининский переулок,58481067,3-й Ирининский пер.,Tretij Irininskij pereulok,002,,0102,77000000000362300,
3,008910,Иркутская улица,58481068,Иркутская ул.,Irkutskaya ulicza,001,,0406,77000000000139700,
4,008920,1-й Иртышский проезд,58481069,1-й Иртышский пр.,Pervy'j Irty'shskij proezd,003,,0406,77000000000331600,
5,008930,2-й Иртышский проезд,58481070,2-й Иртышский пр.,Vtoroj Irty'shskij proezd,003,,0406,77000000000139800,
6,008935,улица Исаковского,58481071,ул. Исаковского,ulicza Isakovskogo,001,,0905,77000000000139900,
7,008940,улица Искры,58481072,ул. Искры,ulicza Iskry',001,,0303,77000000000140000,
8,008950,проезд Воскресенские Ворота,58481073,пр. Воскресенские Ворота,proezd Voskresenskie Vorota,003,,0108,77000000000702300,
9,008960,Истринская улица,58481074,Истринская ул.,Istrinskaya ulicza,001,,0807,77000000000140200,
10,008970,1-я Кабельная улица,58481075,1-я Кабельная ул.,Pervaya Kabel`naya ulicza,001,,0507,77000000000024300,
11,008980,2-я Кабельная улица,58481076,2-я Кабельная ул.,Vtoraya Kabel`naya ulicza,001,,0507,77000000000024400,
12,008990,3-я Кабельная улица,58481077,3-я Кабельная ул.,Tret`ya Kabel`naya ulicza,001,,0507,77000000000024500,
13,009000,4-я Кабельная улица,58481078,4-я Кабельная ул.,Chetvyortaya Kabel`naya ulicza,001,,0507,77000000000024600,
14,009010,5-я Кабельная улица,58481079,5-я Кабельная ул.,Pyataya Kabel`naya ulicza,001,,0507,77000000000024700,
15,009020,1-й Кабельный проезд,58481080,1-й Кабельный пр.,Pervy'j Kabel`ny'j proezd,003,,0507,77000000000024800,
16,009030,2-й Кабельный проезд,58481081,2-й Кабельный пр.,Vtoroj Kabel`ny'j proezd,003,,0507,77000000000024900,
17,009035,площадь Амилкара Кабрала,58481082,пл. Амилкара Кабрала,ploshhad` Amilkara Kabrala,004,,0404,77000000000351800,
18,009040,Кавказский бульвар,58481083,Кавказский бульв.,Kavkazskij bul`var,008,,0618,77000000000049100,
19,009050,Кадашёвская набережная,58481084,Кадашёвская наб.,Kadashyovskaya naberezhnaya,005,,0103;0110,77000000000140400,
